Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068)	3/77	1.526226e-05	3.059087e-04	0	0	8.072838e+01	8.952880e+02	INSR;LEP;IRS2
GO_Biological_Process_2021	positive regulation of intracellular signal transduction (GO:1902533)	5/546	1.597892e-05	3.069285e-04	0	0	2.246534e+01	2.481126e+02	IRS1;INSR;LEP;ADIPOQ;IRS2
GO_Biological_Process_2021	regulation of fat cell differentiation (GO:0045598)	3/80	1.712285e-05	3.157454e-04	0	0	7.757143e+01	8.513539e+02	LEP;ADIPOQ;PPARG
GO_Biological_Process_2021	positive regulation of fatty acid oxidation (GO:0046321)	2/12	2.564568e-05	4.448542e-04	0	0	3.632182e+02	3.839629e+03	IRS1;IRS2
GO_Biological_Process_2021	regulation of lipid metabolic process (GO:0019216)	3/92	2.605437e-05	4.448542e-04	0	0	6.707191e+01	7.079658e+02	FASN;IRS2;PPARG
GO_Biological_Process_2021	positive regulation of cellular carbohydrate metabolic process (GO:0010676)	2/13	3.029747e-05	4.816253e-04	0	0	3.301818e+02	3.435359e+03	IRS1;IRS2
GO_Biological_Process_2021	negative regulation of macrophage derived foam cell differentiation (GO:0010745)	2/13	3.029747e-05	4.816253e-04	0	0	3.301818e+02	3.435359e+03	ADIPOQ;PPARG
GO_Biological_Process_2021	positive regulation of glucose metabolic process (GO:0010907)	2/14	3.533414e-05	5.254529e-04	0	0	3.026515e+02	3.102378e+03	IRS1;IRS2
GO_Biological_Process_2021	regulation of fatty acid beta-oxidation (GO:0031998)	2/14	3.533414e-05	5.254529e-04	0	0	3.026515e+02	3.102378e+03	IRS1;IRS2
GO_Biological_Process_2021	regulation of phosphatidylinositol 3-kinase signaling (GO:0014066)	3/106	3.981577e-05	5.693387e-04	0	0	5.791456e+01	5.867468e+02	INSR;LEP;IRS2
GO_Biological_Process_2021	placenta development (GO:0001890)	2/15	4.075527e-05	5.693387e-04	0	0	2.793566e+02	2.823716e+03	LEP;PPARG
GO_Biological_Process_2021	negative regulation of vascular associated smooth muscle cell proliferation (GO:1904706)	2/17	5.274920e-05	7.152171e-04	0	0	2.420848e+02	2.384527e+03	ADIPOQ;PPARG
GO_Biological_Process_2021	positive regulation of fatty acid metabolic process (GO:0045923)	2/18	5.932116e-05	7.596404e-04	0	0	2.269432e+02	2.208735e+03	ADIPOQ;PPARG
GO_Biological_Process_2021	regulation of fatty acid metabolic process (GO:0019217)	2/18	5.932116e-05	7.596404e-04	0	0	2.269432e+02	2.208735e+03	ADIPOQ;PPARG
GO_Biological_Process_2021	fatty acid metabolic process (GO:0006631)	3/124	6.357374e-05	7.834148e-04	0	0	4.925455e+01	4.759619e+02	FASN;ADIPOQ;PPARG
GO_Biological_Process_2021	interleukin-7-mediated signaling pathway (GO:0038111)	2/19	6.627587e-05	7.834148e-04	0	0	2.135829e+02	2.055027e+03	IRS1;IRS2
GO_Biological_Process_2021	cellular response to interleukin-7 (GO:0098761)	2/19	6.627587e-05	7.834148e-04	0	0	2.135829e+02	2.055027e+03	IRS1;IRS2
GO_Biological_Process_2021	positive regulation of macromolecule biosynthetic process (GO:0010557)	3/129	7.151201e-05	8.227588e-04	0	0	4.728810e+01	4.513954e+02	IRS1;INSR;IRS2
GO_Biological_Process_2021	regulation of primary metabolic process (GO:0080090)	3/130	7.317378e-05	8.227588e-04	0	0	4.691339e+01	4.467409e+02	FASN;IRS2;PPARG
GO_Biological_Process_2021	fatty-acyl-CoA metabolic process (GO:0035337)	2/22	8.943236e-05	9.587981e-04	0	0	1.815182e+02	1.692118e+03	DGAT1;FASN
GO_Biological_Process_2021	positive regulation of lipid catabolic process (GO:0050996)	2/22	8.943236e-05	9.587981e-04	0	0	1.815182e+02	1.692118e+03	IRS1;IRS2
GO_Biological_Process_2021	positive regulation of cellular catabolic process (GO:0031331)	3/141	9.314933e-05	9.759510e-04	0	0	4.315000e+01	4.004884e+02	IRS1;INSR;IRS2
GO_Biological_Process_2021	positive regulation of cholesterol efflux (GO:0010875)	2/23	9.791390e-05	9.812675e-04	0	0	1.728658e+02	1.595797e+03	ADIPOQ;PPARG
GO_Biological_Process_2021	diacylglycerol metabolic process (GO:0046339)	2/23	9.791390e-05	9.812675e-04	0	0	1.728658e+02	1.595797e+03	LIPE;DGAT1
GO_Biological_Process_2021	response to hexose (GO:0009746)	2/25	1.160185e-04	1.114261e-03	0	0	1.578182e+02	1.430111e+03	ADIPOQ;IRS2
GO_Biological_Process_2021	positive regulation of lipid metabolic process (GO:0045834)	2/25	1.160185e-04	1.114261e-03	0	0	1.578182e+02	1.430111e+03	ADIPOQ;PPARG
GO_Biological_Process_2021	regulation of developmental growth (GO:0048638)	2/31	1.794341e-04	1.654382e-03	0	0	1.251285e+02	1.079321e+03	INSR;LEP
GO_Biological_Process_2021	regulation of macrophage derived foam cell differentiation (GO:0010743)	2/31	1.794341e-04	1.654382e-03	0	0	1.251285e+02	1.079321e+03	ADIPOQ;PPARG
GO_Biological_Process_2021	positive regulation of cellular biosynthetic process (GO:0031328)	3/180	1.918658e-04	1.734316e-03	0	0	3.357627e+01	2.873697e+02	IRS1;INSR;IRS2
GO_Biological_Process_2021	positive regulation of cholesterol transport (GO:0032376)	2/33	2.035954e-04	1.738101e-03	0	0	1.170440e+02	9.948009e+02	ADIPOQ;PPARG
GO_Biological_Process_2021	regulation of cholesterol efflux (GO:0010874)	2/33	2.035954e-04	1.738101e-03	0	0	1.170440e+02	9.948009e+02	ADIPOQ;PPARG
GO_Biological_Process_2021	negative regulation of smooth muscle cell proliferation (GO:0048662)	2/33	2.035954e-04	1.738101e-03	0	0	1.170440e+02	9.948009e+02	ADIPOQ;PPARG
GO_Biological_Process_2021	regulation of vascular associated smooth muscle cell proliferation (GO:1904705)	2/37	2.564319e-04	2.149365e-03	0	0	1.036468e+02	8.570185e+02	ADIPOQ;PPARG
GO_Biological_Process_2021	regulation of inflammatory response (GO:0050727)	3/206	2.854021e-04	2.349471e-03	0	0	2.923744e+01	2.386246e+02	CEBPA;ADIPOQ;PPARG
GO_Biological_Process_2021	hexose metabolic process (GO:0019318)	2/41	3.152647e-04	2.536887e-03	0	0	9.299767e+01	7.497563e+02	ADIPOQ;IRS2
GO_Biological_Process_2021	positive regulation of protein modification process (GO:0031401)	3/214	3.191745e-04	2.536887e-03	0	0	2.811754e+01	2.263398e+02	INSR;LEP;ADIPOQ
GO_Biological_Process_2021	response to glucose (GO:0009749)	2/49	4.508127e-04	3.522452e-03	0	0	7.713733e+01	5.943014e+02	ADIPOQ;IRS2
GO_Biological_Process_2021	inositol lipid-mediated signaling (GO:0048017)	2/51	4.884058e-04	3.732196e-03	0	0	7.398145e+01	5.640615e+02	IRS1;IRS2
GO_Biological_Process_2021	positive regulation of developmental growth (GO:0048639)	2/52	5.077560e-04	3.732196e-03	0	0	7.249818e+01	5.499357e+02	INSR;LEP
GO_Biological_Process_2021	response to peptide hormone (GO:0043434)	2/52	5.077560e-04	3.732196e-03	0	0	7.249818e+01	5.499357e+02	IRS1;LEP
GO_Biological_Process_2021	positive regulation of signal transduction (GO:0009967)	3/252	5.148768e-04	3.732196e-03	0	0	2.378072e+01	1.800577e+02	IRS1;ADIPOQ;SLC2A4
GO_Biological_Process_2021	positive regulation of phosphorylation (GO:0042327)	3/253	5.208592e-04	3.732196e-03	0	0	2.368440e+01	1.790548e+02	INSR;LEP;ADIPOQ
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	4/621	5.262315e-04	3.732196e-03	0	0	1.395282e+01	1.053406e+02	CEBPA;IRS1;LEP;IRS2
GO_Biological_Process_2021	positive regulation of cellular process (GO:0048522)	4/625	5.391651e-04	3.765986e-03	0	0	1.386008e+01	1.043039e+02	IRS1;INSR;FASN;IRS2
GO_Biological_Process_2021	negative regulation of cytokine-mediated signaling pathway (GO:0001960)	2/55	5.680161e-04	3.908290e-03	0	0	6.838422e+01	5.110599e+02	ADIPOQ;PPARG
GO_Biological_Process_2021	regulation of protein phosphorylation (GO:0001932)	3/266	6.027423e-04	4.086238e-03	0	0	2.249886e+01	1.668070e+02	INSR;LEP;ADIPOQ
GO_Biological_Process_2021	positive regulation of interleukin-8 production (GO:0032757)	2/61	6.984425e-04	4.666406e-03	0	0	6.141140e+01	4.462556e+02	LEP;ADIPOQ
GO_Biological_Process_2021	glucose metabolic process (GO:0006006)	2/62	7.214596e-04	4.751327e-03	0	0	6.038485e+01	4.368381e+02	ADIPOQ;IRS2
GO_Biological_Process_2021	peptidyl-tyrosine phosphorylation (GO:0018108)	2/69	8.927599e-04	5.796653e-03	0	0	5.405699e+01	3.795445e+02	INSR;LEP
GO_Biological_Process_2021	phosphatidylinositol-mediated signaling (GO:0048015)	2/71	9.449631e-04	5.967507e-03	0	0	5.248485e+01	3.655236e+02	IRS1;IRS2
GO_Biological_Process_2021	myeloid leukocyte differentiation (GO:0002573)	2/71	9.449631e-04	5.967507e-03	0	0	5.248485e+01	3.655236e+02	CEBPA;PPARG
GO_Biological_Process_2021	positive regulation of lymphocyte proliferation (GO:0050671)	2/75	1.053695e-03	6.564236e-03	0	0	4.959900e+01	3.400236e+02	LEP;IRS2
GO_Biological_Process_2021	positive regulation of growth (GO:0045927)	2/76	1.081777e-03	6.649323e-03	0	0	4.892629e+01	3.341250e+02	INSR;LEP
GO_Biological_Process_2021	negative regulation of protein serine/threonine kinase activity (GO:0071901)	2/78	1.139016e-03	6.861408e-03	0	0	4.763397e+01	3.228435e+02	CEBPA;ADIPOQ
GO_Biological_Process_2021	regulation of cell population proliferation (GO:0042127)	4/764	1.146049e-03	6.861408e-03	0	0	1.124386e+01	7.613707e+01	CEBPA;IRS1;INSR;IRS2
GO_Biological_Process_2021	regulation of interleukin-8 production (GO:0032677)	2/81	1.227559e-03	7.255188e-03	0	0	4.581818e+01	3.071068e+02	LEP;ADIPOQ
GO_Biological_Process_2021	vascular transport (GO:0010232)	2/84	1.319312e-03	7.698768e-03	0	0	4.413525e+01	2.926452e+02	INSR;SLC2A4
GO_Biological_Process_2021	negative regulation of defense response (GO:0031348)	2/85	1.350607e-03	7.782875e-03	0	0	4.360131e+01	2.880826e+02	ADIPOQ;PPARG
GO_Biological_Process_2021	transport across blood-brain barrier (GO:0150104)	2/86	1.382258e-03	7.866926e-03	0	0	4.308009e+01	2.836409e+02	INSR;SLC2A4
GO_Biological_Process_2021	positive regulation of protein phosphorylation (GO:0001934)	3/371	1.576962e-03	8.865606e-03	0	0	1.599375e+01	1.031958e+02	INSR;LEP;ADIPOQ
GO_Biological_Process_2021	regulation of kinase activity (GO:0043549)	2/94	1.648199e-03	9.154456e-03	0	0	3.931818e+01	2.519537e+02	INSR;IRS2
GO_Biological_Process_2021	positive regulation of cold-induced thermogenesis (GO:0120162)	2/97	1.753737e-03	9.624678e-03	0	0	3.807081e+01	2.415976e+02	LEP;ADIPOQ
GO_Biological_Process_2021	regulation of insulin secretion (GO:0050796)	2/104	2.012234e-03	1.078771e-02	0	0	3.544563e+01	2.200646e+02	IRS1;IRS2
GO_Biological_Process_2021	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	3/404	2.012458e-03	1.078771e-02	0	0	1.465287e+01	9.097084e+01	IRS1;INSR;IRS2
GO_Biological_Process_2021	activation of protein kinase activity (GO:0032147)	2/114	2.411017e-03	1.277562e-02	0	0	3.226461e+01	1.944816e+02	INSR;LEP
GO_Biological_Process_2021	negative regulation of response to external stimulus (GO:0032102)	2/118	2.580171e-03	1.351658e-02	0	0	3.114577e+01	1.856256e+02	ADIPOQ;PPARG
GO_Biological_Process_2021	negative regulation of nucleic acid-templated transcription (GO:1903507)	3/464	2.983471e-03	1.438874e-02	0	0	1.270672e+01	7.388538e+01	CEBPA;ADIPOQ;PPARG
GO_Biological_Process_2021	positive regulation of cell population proliferation (GO:0008284)	3/474	3.169003e-03	1.438874e-02	0	0	1.243057e+01	7.152972e+01	IRS1;INSR;IRS2
GO_Biological_Process_2021	activation of protein kinase C activity (GO:1990051)	1/5	3.246051e-03	1.438874e-02	0	0	4.163125e+02	2.385602e+03	LEP
GO_Biological_Process_2021	positive regulation of cAMP-dependent protein kinase activity (GO:2000481)	1/5	3.246051e-03	1.438874e-02	0	0	4.163125e+02	2.385602e+03	ADIPOQ
GO_Biological_Process_2021	glucose import in response to insulin stimulus (GO:0044381)	1/5	3.246051e-03	1.438874e-02	0	0	4.163125e+02	2.385602e+03	SLC2A4
GO_Biological_Process_2021	negative regulation of gene silencing by RNA (GO:0060967)	1/5	3.246051e-03	1.438874e-02	0	0	4.163125e+02	2.385602e+03	PPARG
GO_Biological_Process_2021	glycerol ether metabolic process (GO:0006662)	1/5	3.246051e-03	1.438874e-02	0	0	4.163125e+02	2.385602e+03	LIPE
GO_Biological_Process_2021	negative regulation of macrophage differentiation (GO:0045650)	1/5	3.246051e-03	1.438874e-02	0	0	4.163125e+02	2.385602e+03	ADIPOQ
GO_Biological_Process_2021	positive regulation of low-density lipoprotein receptor activity (GO:1905599)	1/5	3.246051e-03	1.438874e-02	0	0	4.163125e+02	2.385602e+03	PPARG
GO_Biological_Process_2021	negative regulation of posttranscriptional gene silencing (GO:0060149)	1/5	3.246051e-03	1.438874e-02	0	0	4.163125e+02	2.385602e+03	PPARG
GO_Biological_Process_2021	negative regulation of response to food (GO:0032096)	1/5	3.246051e-03	1.438874e-02	0	0	4.163125e+02	2.385602e+03	LEP
GO_Biological_Process_2021	short-term memory (GO:0007614)	1/5	3.246051e-03	1.438874e-02	0	0	4.163125e+02	2.385602e+03	SLC2A4
GO_Biological_Process_2021	negative regulation of vascular endothelial cell proliferation (GO:1905563)	1/5	3.246051e-03	1.438874e-02	0	0	4.163125e+02	2.385602e+03	PPARG
GO_Biological_Process_2021	positive regulation of vascular associated smooth muscle cell apoptotic process (GO:1905461)	1/5	3.246051e-03	1.438874e-02	0	0	4.163125e+02	2.385602e+03	PPARG
GO_Biological_Process_2021	regulation of natural killer cell mediated immunity (GO:0002715)	1/5	3.246051e-03	1.438874e-02	0	0	4.163125e+02	2.385602e+03	LEP
GO_Biological_Process_2021	prostaglandin transport (GO:0015732)	1/5	3.246051e-03	1.438874e-02	0	0	4.163125e+02	2.385602e+03	LEP
GO_Biological_Process_2021	monocarboxylic acid metabolic process (GO:0032787)	2/143	3.760350e-03	1.631980e-02	0	0	2.559123e+01	1.428821e+02	FASN;PPARG
GO_Biological_Process_2021	foam cell differentiation (GO:0090077)	1/6	3.894096e-03	1.631980e-02	0	0	3.330333e+02	1.847767e+03	PPARG
GO_Biological_Process_2021	negative regulation of sequestering of triglyceride (GO:0010891)	1/6	3.894096e-03	1.631980e-02	0	0	3.330333e+02	1.847767e+03	PPARG
GO_Biological_Process_2021	macrophage derived foam cell differentiation (GO:0010742)	1/6	3.894096e-03	1.631980e-02	0	0	3.330333e+02	1.847767e+03	PPARG
GO_Biological_Process_2021	regulation of long-chain fatty acid import across plasma membrane (GO:0010746)	1/6	3.894096e-03	1.631980e-02	0	0	3.330333e+02	1.847767e+03	IRS2
GO_Biological_Process_2021	peroxisome proliferator activated receptor signaling pathway (GO:0035357)	1/6	3.894096e-03	1.631980e-02	0	0	3.330333e+02	1.847767e+03	PPARG
GO_Biological_Process_2021	positive regulation of transferase activity (GO:0051347)	2/148	4.021496e-03	1.670189e-02	0	0	2.470859e+01	1.362951e+02	INSR;ADIPOQ
GO_Biological_Process_2021	acylglycerol acyl-chain remodeling (GO:0036155)	1/7	4.541754e-03	1.702234e-02	0	0	2.775139e+02	1.497033e+03	DGAT1
GO_Biological_Process_2021	regulation of vascular associated smooth muscle cell apoptotic process (GO:1905459)	1/7	4.541754e-03	1.702234e-02	0	0	2.775139e+02	1.497033e+03	PPARG
GO_Biological_Process_2021	regulation of bone remodeling (GO:0046850)	1/7	4.541754e-03	1.702234e-02	0	0	2.775139e+02	1.497033e+03	LEP
GO_Biological_Process_2021	negative regulation of interferon-gamma-mediated signaling pathway (GO:0060336)	1/7	4.541754e-03	1.702234e-02	0	0	2.775139e+02	1.497033e+03	PPARG
GO_Biological_Process_2021	negative regulation of intracellular transport (GO:0032387)	1/7	4.541754e-03	1.702234e-02	0	0	2.775139e+02	1.497033e+03	ADIPOQ
GO_Biological_Process_2021	negative regulation of low-density lipoprotein receptor activity (GO:1905598)	1/7	4.541754e-03	1.702234e-02	0	0	2.775139e+02	1.497033e+03	ADIPOQ
GO_Biological_Process_2021	negative regulation of response to interferon-gamma (GO:0060331)	1/7	4.541754e-03	1.702234e-02	0	0	2.775139e+02	1.497033e+03	PPARG
GO_Biological_Process_2021	regulation of glycogen (starch) synthase activity (GO:2000465)	1/7	4.541754e-03	1.702234e-02	0	0	2.775139e+02	1.497033e+03	ADIPOQ
GO_Biological_Process_2021	positive regulation of respiratory burst (GO:0060267)	1/7	4.541754e-03	1.702234e-02	0	0	2.775139e+02	1.497033e+03	INSR
GO_Biological_Process_2021	regulation of natural killer cell proliferation (GO:0032817)	1/7	4.541754e-03	1.702234e-02	0	0	2.775139e+02	1.497033e+03	LEP
GO_Biological_Process_2021	monoacylglycerol biosynthetic process (GO:0006640)	1/7	4.541754e-03	1.702234e-02	0	0	2.775139e+02	1.497033e+03	DGAT1
GO_Biological_Process_2021	white fat cell differentiation (GO:0050872)	1/7	4.541754e-03	1.702234e-02	0	0	2.775139e+02	1.497033e+03	PPARG
GO_Biological_Process_2021	negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	3/547	4.741780e-03	1.762871e-02	0	0	1.072224e+01	5.737839e+01	CEBPA;ADIPOQ;PPARG
GO_Biological_Process_2021	regulation of MAPK cascade (GO:0043408)	2/166	5.029653e-03	1.798601e-02	0	0	2.197672e+01	1.163097e+02	INSR;LEP
GO_Biological_Process_2021	negative regulation of appetite (GO:0032099)	1/8	5.189022e-03	1.798601e-02	0	0	2.378571e+02	1.251416e+03	LEP
GO_Biological_Process_2021	negative regulation of B cell apoptotic process (GO:0002903)	1/8	5.189022e-03	1.798601e-02	0	0	2.378571e+02	1.251416e+03	IRS2
GO_Biological_Process_2021	negative regulation of glucose import (GO:0046325)	1/8	5.189022e-03	1.798601e-02	0	0	2.378571e+02	1.251416e+03	LEP
GO_Biological_Process_2021	brown fat cell differentiation (GO:0050873)	1/8	5.189022e-03	1.798601e-02	0	0	2.378571e+02	1.251416e+03	ADIPOQ
GO_Biological_Process_2021	positive regulation of monocyte chemotactic protein-1 production (GO:0071639)	1/8	5.189022e-03	1.798601e-02	0	0	2.378571e+02	1.251416e+03	ADIPOQ
GO_Biological_Process_2021	positive regulation of myeloid cell apoptotic process (GO:0033034)	1/8	5.189022e-03	1.798601e-02	0	0	2.378571e+02	1.251416e+03	ADIPOQ
GO_Biological_Process_2021	dendritic spine maintenance (GO:0097062)	1/8	5.189022e-03	1.798601e-02	0	0	2.378571e+02	1.251416e+03	INSR
GO_Biological_Process_2021	tyrosine phosphorylation of STAT protein (GO:0007260)	1/8	5.189022e-03	1.798601e-02	0	0	2.378571e+02	1.251416e+03	LEP
GO_Biological_Process_2021	positive regulation of developmental process (GO:0051094)	2/177	5.697478e-03	1.921679e-02	0	0	2.058390e+01	1.063721e+02	INSR;LEP
GO_Biological_Process_2021	regulation of respiratory burst (GO:0060263)	1/9	5.835903e-03	1.921679e-02	0	0	2.081146e+02	1.070484e+03	INSR
GO_Biological_Process_2021	response to leptin (GO:0044321)	1/9	5.835903e-03	1.921679e-02	0	0	2.081146e+02	1.070484e+03	LEP
GO_Biological_Process_2021	cellular response to leptin stimulus (GO:0044320)	1/9	5.835903e-03	1.921679e-02	0	0	2.081146e+02	1.070484e+03	LEP
GO_Biological_Process_2021	positive regulation of protein kinase A signaling (GO:0010739)	1/9	5.835903e-03	1.921679e-02	0	0	2.081146e+02	1.070484e+03	ADIPOQ
GO_Biological_Process_2021	regulation of leukocyte mediated cytotoxicity (GO:0001910)	1/9	5.835903e-03	1.921679e-02	0	0	2.081146e+02	1.070484e+03	LEP
GO_Biological_Process_2021	positive regulation of smooth muscle cell apoptotic process (GO:0034393)	1/9	5.835903e-03	1.921679e-02	0	0	2.081146e+02	1.070484e+03	PPARG
GO_Biological_Process_2021	regulation of receptor binding (GO:1900120)	1/10	6.482395e-03	1.940509e-02	0	0	1.849815e+02	9.320597e+02	ADIPOQ
GO_Biological_Process_2021	negative regulation of cholesterol storage (GO:0010887)	1/10	6.482395e-03	1.940509e-02	0	0	1.849815e+02	9.320597e+02	PPARG
GO_Biological_Process_2021	negative regulation of heterotypic cell-cell adhesion (GO:0034115)	1/10	6.482395e-03	1.940509e-02	0	0	1.849815e+02	9.320597e+02	ADIPOQ
GO_Biological_Process_2021	regulation of cell-cell adhesion involved in gastrulation (GO:0070587)	1/10	6.482395e-03	1.940509e-02	0	0	1.849815e+02	9.320597e+02	ADIPOQ
GO_Biological_Process_2021	negative regulation of lymphocyte apoptotic process (GO:0070229)	1/10	6.482395e-03	1.940509e-02	0	0	1.849815e+02	9.320597e+02	IRS2
GO_Biological_Process_2021	retinoic acid receptor signaling pathway (GO:0048384)	1/10	6.482395e-03	1.940509e-02	0	0	1.849815e+02	9.320597e+02	PPARG
GO_Biological_Process_2021	negative regulation of protein autophosphorylation (GO:0031953)	1/10	6.482395e-03	1.940509e-02	0	0	1.849815e+02	9.320597e+02	ADIPOQ
GO_Biological_Process_2021	negative regulation of receptor binding (GO:1900121)	1/10	6.482395e-03	1.940509e-02	0	0	1.849815e+02	9.320597e+02	ADIPOQ
GO_Biological_Process_2021	regulation of granulocyte differentiation (GO:0030852)	1/10	6.482395e-03	1.940509e-02	0	0	1.849815e+02	9.320597e+02	ADIPOQ
GO_Biological_Process_2021	leptin-mediated signaling pathway (GO:0033210)	1/10	6.482395e-03	1.940509e-02	0	0	1.849815e+02	9.320597e+02	LEP
GO_Biological_Process_2021	negative regulation of transmembrane transport (GO:0034763)	1/10	6.482395e-03	1.940509e-02	0	0	1.849815e+02	9.320597e+02	IRS2
GO_Biological_Process_2021	lipoprotein transport (GO:0042953)	1/10	6.482395e-03	1.940509e-02	0	0	1.849815e+02	9.320597e+02	PPARG
GO_Biological_Process_2021	neuron projection maintenance (GO:1990535)	1/10	6.482395e-03	1.940509e-02	0	0	1.849815e+02	9.320597e+02	INSR
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase III (GO:0045945)	1/10	6.482395e-03	1.940509e-02	0	0	1.849815e+02	9.320597e+02	CEBPA
GO_Biological_Process_2021	negative regulation of cell differentiation (GO:0045596)	2/191	6.603250e-03	1.963934e-02	0	0	1.904570e+01	9.561307e+01	ADIPOQ;PPARG
GO_Biological_Process_2021	negative regulation of platelet-derived growth factor receptor signaling pathway (GO:0010642)	1/11	7.128500e-03	2.053899e-02	0	0	1.664750e+02	8.229949e+02	ADIPOQ
GO_Biological_Process_2021	insulin-like growth factor receptor signaling pathway (GO:0048009)	1/11	7.128500e-03	2.053899e-02	0	0	1.664750e+02	8.229949e+02	IRS1
GO_Biological_Process_2021	lipoprotein localization (GO:0044872)	1/11	7.128500e-03	2.053899e-02	0	0	1.664750e+02	8.229949e+02	PPARG
GO_Biological_Process_2021	regulation of monocyte chemotactic protein-1 production (GO:0071637)	1/11	7.128500e-03	2.053899e-02	0	0	1.664750e+02	8.229949e+02	ADIPOQ
